geoid,name,impervious_ratio,canopy_cover,drainage_capacity,population_density
48453033200,Census Tract 332,0.2024,0.3131,0.12,726.4
48453043100,Census Tract 431,0.4942,0.02,0.0876,2539.5
48453044100,Census Tract 441,0.4426,0.02,0.0978,1005.5
48453002219,Census Tract 22.19,0.05,0.3473,0.2122,61.9
48453046000,Census Tract 460,0.2841,0.02,0.1096,730.9
48453030100,Census Tract 301,0.3846,0.2103,0.0969,1343.3
48453032300,Census Tract 323,0.6515,0.02,0.08,4442.8
48453002323,Census Tract 23.23,0.4629,0.1317,0.0806,2237.1
48453034900,Census Tract 349,0.2775,0.312,0.1633,1147.1
48453040800,Census Tract 408,0.5977,0.02,0.08,2027.1
48453034700,Census Tract 347,0.3589,0.2201,0.0962,1219.5
48453030400,Census Tract 304,0.3952,0.0648,0.0907,1722.7
48453002451,Census Tract 24.51,0.3513,0.1641,0.1881,1637.6
48453002448,Census Tract 24.48,0.2996,0.1512,0.1921,484.4
48453035900,Census Tract 359,0.05,0.5958,0.144,40.8
48453001913,Census Tract 19.13,0.1789,0.4845,0.1662,410.5
48453002500,Census Tract 25,0.4825,0.1201,0.0832,1769.6
48453001602,Census Tract 16.02,0.3003,0.1135,0.2381,1096.5
48453037200,Census Tract 372,0.4024,0.0854,0.0899,2173.9
48453000309,Census Tract 3.09,0.7399,0.02,0.08,2769.1
48453046900,Census Tract 469,0.315,0.02,0.1879,996.6
48453035600,Census Tract 356,0.05,0.7247,0.2326,51.0
48453041600,Census Tract 416,0.5185,0.0256,0.08,2602.4
48453036600,Census Tract 366,0.05,0.541,0.1434,93.4
48453001920,Census Tract 19.20,0.2497,0.3907,0.114,691.5
48453002310,Census Tract 23.10,0.1098,0.0507,0.3505,159.0
48453036100,Census Tract 361,0.241,0.3346,0.1147,738.2
48453000401,Census Tract 4.01,0.5561,0.02,0.08,2069.0
48453001000,Census Tract 10,0.3841,0.02,0.2187,1660.8
48453001604,Census Tract 16.04,0.2734,0.078,0.2475,1354.5
48453002111,Census Tract 21.11,0.4268,0.0286,0.2212,744.8
48453001919,Census Tract 19.19,0.2999,0.175,0.1079,857.1
48453980000,Census Tract 9800,0.3287,0.0455,0.1483,0.0
48453035400,Census Tract 354,0.1684,0.3527,0.1641,267.7
48453046200,Census Tract 462,0.4898,0.02,0.08,1999.8
